   (424) Gratia              1896 DF     1896 12 31  Nice                     Charlois, A.
   (425) Cornelia            1896 DC     1896 12 28  Nice                     Charlois, A.
   (426) Hippo               1897 DH     1897 08 25  Nice                     Charlois, A.
   (427) Galene              1897 DJ     1897 08 27  Nice                     Charlois, A.
   (428) Monachia            1897 DK     1897 11 18  Munich                   Villiger, W.
   (429) Lotis               1897 DL     1897 11 23  Nice                     Charlois, A.
   (430) Hybris              1897 DM     1897 12 18  Nice                     Charlois, A.
   (431) Nephele             1897 DN     1897 12 18  Nice                     Charlois, A.
   (432) Pythia              1897 DO     1897 12 18  Nice                     Charlois, A.
   (433) Eros                1898 DQ     1898 08 13  Berlin                   Witt, G.
   (434) Hungaria            1898 DR     1898 09 11  Heidelberg               Wolf, M. F.
   (435) Ella                1898 DS     1898 09 11  Heidelberg               Wolf, M. F., Schwassmann, A.
   (436) Patricia            1898 DT     1898 09 13  Heidelberg               Wolf, M. F., Schwassmann, A.
   (437) Rhodia              1898 DP     1898 07 16  Nice                     Charlois, A.
   (438) Zeuxo               1898 DU     1898 11 08  Nice                     Charlois, A.
   (439) Ohio                1898 EB     1898 10 13  Mount Hamilton           Coddington, E. F.
   (440) Theodora            1898 EC     1898 10 13  Mount Hamilton           Coddington, E. F.
   (441) Bathilde            1898 ED     1898 12 08  Nice                     Charlois, A.
   (442) Eichsfeldia         1899 EE     1899 02 15  Heidelberg               Wolf, M. F., Schwassmann, A.
   (443) Photographica       1899 EF     1899 02 17  Heidelberg               Wolf, M. F., Schwassmann, A.
   (444) Gyptis              1899 EL     1899 03 31  Marseilles               Coggia, J.
   (445) Edna                1899 EX     1899 10 02  Mount Hamilton           Coddington, E. F.
   (446) Aeternitas          1899 ER     1899 10 27  Heidelberg               Wolf, M. F., Schwassmann, A.
   (447) Valentine           1899 ES     1899 10 27  Heidelberg               Wolf, M. F., Schwassmann, A.
   (448) Natalie             1899 ET     1899 10 27  Heidelberg               Wolf, M. F., Schwassmann, A.
   (449) Hamburga            1899 EU     1899 10 31  Heidelberg               Wolf, M. F., Schwassmann, A.
   (450) Brigitta            1899 EV     1899 10 10  Heidelberg               Wolf, M. F., Schwassmann, A.
   (451) Patientia           1899 EY     1899 12 04  Nice                     Charlois, A.
   (452) Hamiltonia          1899 FD     1899 12 06  Mount Hamilton           Keeler, J. E.
   (453) Tea                 1900 FA     1900 02 22  Nice                     Charlois, A.
   (454) Mathesis            1900 FC     1900 03 28  Heidelberg               Schwassmann, A.
   (455) Bruchsalia          1900 FG     1900 05 22  Heidelberg               Wolf, M. F., Schwassmann, A.
   (456) Abnoba              1900 FH     1900 06 04  Heidelberg               Wolf, M. F., Schwassmann, A.
   (457) Alleghenia          1900 FJ     1900 09 15  Heidelberg               Wolf, M. F., Schwassmann, A.
   (458) Hercynia            1900 FK     1900 09 21  Heidelberg               Wolf, M. F., Schwassmann, A.
   (459) Signe               1900 FM     1900 10 22  Heidelberg               Wolf, M. F.
   (460) Scania              1900 FN     1900 10 22  Heidelberg               Wolf, M. F.
   (461) Saskia              1900 FP     1900 10 22  Heidelberg               Wolf, M. F.
   (462) Eriphyla            1900 FQ     1900 10 22  Heidelberg               Wolf, M. F.
   (463) Lola                1900 FS     1900 10 31  Heidelberg               Wolf, M. F.
   (464) Megaira             1901 FV     1901 01 09  Heidelberg               Wolf, M. F.
   (465) Alekto              1901 FW     1901 01 13  Heidelberg               Wolf, M. F.
   (466) Tisiphone           1901 FX     1901 01 17  Heidelberg               Wolf, M. F., Carnera, L.
   (467) Laura               1901 FY     1901 01 09  Heidelberg               Wolf, M. F.
   (468) Lina                1901 FZ     1901 01 18  Heidelberg               Wolf, M. F.
   (469) Argentina           1901 GE     1901 02 20  Heidelberg               Carnera, L.
   (470) Kilia               1901 GJ     1901 04 21  Heidelberg               Carnera, L.
   (471) Papagena            1901 GN     1901 06 07  Heidelberg               Wolf, M. F.
   (472) Roma                1901 GP     1901 07 11  Heidelberg               Carnera, L.
   (473) Nolli               1901 GC     1901 02 13  Heidelberg               Wolf, M. F.
   (474) Prudentia           1901 GD     1901 02 13  Heidelberg               Wolf, M. F.
   (475) Ocllo               1901 HN     1901 08 14  Arequipa                 Stewart, D.
   (476) Hedwig              1901 GQ     1901 08 17  Heidelberg               Carnera, L.
   (477) Italia              1901 GR     1901 08 23  Heidelberg               Carnera, L.
   (478) Tergeste            1901 GU     1901 09 21  Heidelberg               Carnera, L.
   (479) Caprera             1901 HJ     1901 11 12  Heidelberg               Carnera, L.
   (480) Hansa               1901 GL     1901 05 21  Heidelberg               Wolf, M. F., Carnera, L.
   (481) Emita               1902 HP     1902 02 12  Heidelberg               Carnera, L.
   (482) Petrina             1902 HT     1902 03 03  Heidelberg               Wolf, M. F.
   (483) Seppina             1902 HU     1902 03 04  Heidelberg               Wolf, M. F.
   (484) Pittsburghia        1902 HX     1902 04 29  Heidelberg               Wolf, M. F.
   (485) Genua               1902 HZ     1902 05 07  Heidelberg               Carnera, L.
   (486) Cremona             1902 JB     1902 05 11  Heidelberg               Carnera, L.
   (487) Venetia             1902 JL     1902 07 09  Heidelberg               Carnera, L.
   (488) Kreusa              1902 JG     1902 06 26  Heidelberg               Wolf, M. F., Carnera, L.
   (489) Comacina            1902 JM     1902 09 02  Heidelberg               Carnera, L.
   (490) Veritas             1902 JP     1902 09 03  Heidelberg               Wolf, M. F.
   (491) Carina              1902 JQ     1902 09 03  Heidelberg               Wolf, M. F.
   (492) Gismonda            1902 JR     1902 09 03  Heidelberg               Wolf, M. F.
